,Date,Hour,Temp,SMP,Is_Holiday,Is_Vac,Is_Weekend,Is_Cold,Is_HW
83,2019-07-02,17:30:00,27.2,198.95,0,1,0,0,0
84,2019-07-02,18:00:00,26.59,203.04,0,1,0,0,0
85,2019-07-02,18:30:00,25.93,197.77,0,1,0,0,0
86,2019-07-02,19:00:00,25.29,196.83,0,1,0,0,0
87,2019-07-02,19:30:00,24.87,198.7,0,1,0,0,0
88,2019-07-02,20:00:00,24.54,197.4,0,1,0,0,0
89,2019-07-02,20:30:00,24.33,197.24,0,1,0,0,0
90,2019-07-02,21:00:00,24.07,196.3,0,1,0,0,0
91,2019-07-02,21:30:00,23.86,192.31,0,1,0,0,0
92,2019-07-02,22:00:00,23.64,207.8,0,1,0,0,0
93,2019-07-02,22:30:00,23.34,173.14,0,1,0,0,0
94,2019-07-02,23:00:00,23.13,168.43,0,1,0,0,0
95,2019-07-02,23:30:00,22.97,143.09,0,1,0,0,0
96,2019-07-03,00:00:00,22.77,142.57,0,1,0,0,0
97,2019-07-03,00:30:00,22.53,192.31,0,1,0,0,0
98,2019-07-03,01:00:00,22.33,196.81,0,1,0,0,0
99,2019-07-03,01:30:00,22.31,196.81,0,1,0,0,0
100,2019-07-03,02:00:00,22.2,196.81,0,1,0,0,0
101,2019-07-03,02:30:00,22.07,145.79,0,1,0,0,0
102,2019-07-03,03:00:00,21.87,147.58,0,1,0,0,0
103,2019-07-03,03:30:00,21.46,158.21,0,1,0,0,0
104,2019-07-03,04:00:00,21.43,142.13,0,1,0,0,0
105,2019-07-03,04:30:00,21.3,142.92,0,1,0,0,0
106,2019-07-03,05:00:00,21.47,148.92,0,1,0,0,0
107,2019-07-03,05:30:00,21.76,142.41,0,1,0,0,0
108,2019-07-03,06:00:00,22.56,192.31,0,1,0,0,0
109,2019-07-03,06:30:00,23.24,192.31,0,1,0,0,0
110,2019-07-03,07:00:00,24.17,153.03,0,1,0,0,0
111,2019-07-03,07:30:00,24.69,144.32,0,1,0,0,0
112,2019-07-03,08:00:00,25.37,143.76,0,1,0,0,0
113,2019-07-03,08:30:00,25.97,128.03,0,1,0,0,0
114,2019-07-03,09:00:00,26.43,148.31,0,1,0,0,0
115,2019-07-03,09:30:00,27.1,148.94,0,1,0,0,0
116,2019-07-03,10:00:00,27.54,127.94,0,1,0,0,0
117,2019-07-03,10:30:00,27.77,153.57,0,1,0,0,0
118,2019-07-03,11:00:00,28.24,193.09,0,1,0,0,0
119,2019-07-03,11:30:00,28.56,145.16,0,1,0,0,0
120,2019-07-03,12:00:00,28.8,193.09,0,1,0,0,0
